time,asset,yes,no,event,pnl
03/26 15:10:23,SOL,0.835,0.165,*** BUY YES @ 83.50% ***,
03/26 15:10:26,SOL,0.835,0.165,holding,
03/26 15:10:28,SOL,0.845,0.155,holding,
03/26 15:10:30,SOL,0.845,0.155,holding,
03/26 15:10:33,SOL,0.845,0.155,holding,
03/26 15:10:35,SOL,0.845,0.155,holding,
03/26 15:10:37,SOL,0.865,0.135,holding,
03/26 15:10:39,SOL,0.85,0.15,holding,
03/26 15:10:42,SOL,0.755,0.245,holding,
03/26 15:10:44,SOL,0.735,0.265,holding,
03/26 15:10:46,SOL,0.735,0.265,holding,
03/26 15:10:49,SOL,0.775,0.225,holding,
03/26 15:10:51,SOL,0.775,0.225,holding,
03/26 15:10:53,SOL,0.785,0.215,holding,
03/26 15:10:55,SOL,0.785,0.215,holding,
03/26 15:10:58,SOL,0.745,0.255,holding,
03/26 15:11:00,SOL,0.745,0.255,holding,
03/26 15:11:02,SOL,0.755,0.245,holding,
03/26 15:11:05,SOL,0.755,0.245,holding,
03/26 15:11:07,SOL,0.755,0.245,holding,
03/26 15:11:09,SOL,0.755,0.245,holding,
03/26 15:11:11,SOL,0.76,0.24,holding,
03/26 15:11:14,SOL,0.765,0.235,holding,
03/26 15:11:16,SOL,0.765,0.235,holding,
03/26 15:11:18,SOL,0.755,0.245,holding,
03/26 15:11:20,SOL,0.755,0.245,holding,
03/26 15:11:23,SOL,0.755,0.245,holding,
03/26 15:11:26,SOL,0.765,0.235,holding,
03/26 15:11:28,SOL,0.765,0.235,holding,
03/26 15:11:30,SOL,0.765,0.235,holding,
03/26 15:11:33,SOL,0.765,0.23,holding,
03/26 15:11:35,SOL,0.765,0.235,holding,
03/26 15:11:37,SOL,0.765,0.235,holding,
03/26 15:11:39,SOL,0.77,0.23,holding,
03/26 15:11:42,SOL,0.775,0.225,holding,
03/26 15:11:44,SOL,0.775,0.225,holding,
03/26 15:11:46,SOL,0.775,0.225,holding,
03/26 15:11:48,SOL,0.785,0.215,holding,
03/26 15:11:51,BTC,0.185,0.815,*** BUY NO @ 81.50% ***,
03/26 15:11:52,SOL,0.8,0.2,holding,
03/26 15:11:54,BTC,0.195,0.805,holding,
03/26 15:11:54,SOL,0.8,0.2,holding,
03/26 15:11:56,BTC,0.185,0.815,holding,
03/26 15:11:56,SOL,0.81,0.18,holding,
03/26 15:11:58,BTC,0.205,0.795,holding,
03/26 15:11:59,SOL,0.835,0.165,holding,
03/26 15:12:01,BTC,0.225,0.775,holding,
03/26 15:12:01,SOL,0.845,0.155,holding,
03/26 15:12:03,BTC,0.205,0.795,holding,
03/26 15:12:03,SOL,0.845,0.155,holding,
03/26 15:12:05,BTC,0.205,0.795,holding,
03/26 15:12:06,SOL,0.845,0.155,holding,
03/26 15:12:08,BTC,0.185,0.815,holding,
03/26 15:12:08,SOL,0.855,0.145,holding,
03/26 15:12:10,BTC,0.185,0.815,holding,
03/26 15:12:10,SOL,0.855,0.145,holding,
03/26 15:12:13,BTC,0.195,0.805,holding,
03/26 15:12:13,SOL,0.865,0.135,holding,
03/26 15:12:15,BTC,0.205,0.795,holding,
03/26 15:12:15,SOL,0.865,0.135,holding,
03/26 15:12:17,BTC,0.225,0.775,holding,
03/26 15:12:17,SOL,0.865,0.135,holding,
03/26 15:12:19,BTC,0.21,0.795,holding,
03/26 15:12:20,SOL,0.865,0.135,holding,
03/26 15:12:22,BTC,0.195,0.805,holding,
03/26 15:12:22,SOL,0.865,0.135,holding,
03/26 15:12:24,BTC,0.275,0.725,holding,
03/26 15:12:25,SOL,0.885,0.115,holding,
03/26 15:12:27,BTC,0.305,0.695,holding,
03/26 15:12:27,SOL,0.895,0.105,holding,
03/26 15:12:29,BTC,0.305,0.695,holding,
03/26 15:12:29,SOL,0.905,0.095,holding,
