message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:06:57.366817118Z
"2026-03-26 22:06:57,681 [INFO] Connected to Polymarket CLOB.",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:06:57.922472901Z
"2026-03-26 22:06:58,602 [INFO]   Sheets | Orderbook and ready ✓",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:06:58.607017902Z
"2026-03-26 22:07:00,778 [INFO] S1 monitor: direction signal at >=78% (no trading)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.947544505Z
"2026-03-26 22:07:00,773 [INFO] Google Sheets connected! Tabs: BTC, ETH, SOL, XRP",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.947675182Z
"2026-03-26 22:07:00,778 [INFO] Auto-redeem service ready ✓",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.947681835Z
"2026-03-26 22:07:00,778 [INFO] =======================================================",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.947689248Z
"2026-03-26 22:07:00,778 [INFO]   DRY RUN MODE",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.947697275Z
"2026-03-26 22:07:00,778 [INFO] =======================================================",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.947704801Z
"2026-03-26 22:07:00,778 [INFO] Bot started — BTC, ETH, SOL, XRP",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.947712465Z
"2026-03-26 22:07:00,778 [INFO] S2-only | vol swing 35% | S2 entry min 6-12 | cheap 2%-10% | TP1@15% TP2@40%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.947719973Z
"2026-03-26 22:07:00,948 [INFO]   [BTC] S1 SIGNAL: direction=YES @ 83.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:00.950535352Z
"2026-03-26 22:07:03,611 [INFO]   [SOL] S1 SIGNAL: direction=NO @ 79.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:07:03.617281321Z
"2026-03-26 22:08:12,552 [INFO]   [ETH] S1 SIGNAL: direction=YES @ 78.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:08:13.807281836Z
"2026-03-26 22:08:41,242 [INFO]   [XRP] VOL: dump leg done (base 70.50% → 35.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:08:43.550564352Z
"2026-03-26 22:08:43,375 [INFO]   [BTC] VOL: dump leg done (base 83.50% → 46.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:08:43.550570292Z
"2026-03-26 22:09:00,128 [INFO]   [ETH] VOL: dump leg done (base 76.50% → 39.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:09:03.554394609Z
"2026-03-26 22:09:21,679 [INFO]   [XRP] S1 SIGNAL: direction=NO @ 78.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:09:23.789701548Z
"2026-03-26 22:10:41,829 [INFO]   [ETH] VOL: cycle complete — dump then pump (trough 30.50% → 65.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:10:43.695171814Z
"2026-03-26 22:10:41,888 [INFO]   [ETH] VOLATILE — checking S2 cheap buy (YES=65.50%, NO=34.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:10:43.695184732Z
"2026-03-26 22:10:41,888 [INFO]   [ETH] S2: no cheap side found — skipping window",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:10:43.695191610Z
"2026-03-26 22:10:44,114 [INFO]   [BTC] VOL: cycle complete — dump then pump (trough 30.50% → 66.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:10:44.127013122Z
"2026-03-26 22:10:44,187 [INFO]   [BTC] VOLATILE — checking S2 cheap buy (YES=66.50%, NO=33.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:10:44.197686454Z
"2026-03-26 22:10:44,188 [INFO]   [BTC] S2: no cheap side found — skipping window",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:10:44.197695487Z
"2026-03-26 22:12:23,559 [INFO]   [XRP] VOL: cycle complete — dump then pump (trough 19.50% → 55.00%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:12:24.681689886Z
"2026-03-26 22:12:23,617 [INFO]   [XRP] VOLATILE but S2 window closed — skipping entire window",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:12:24.681698402Z
"2026-03-26 22:20:02,289 [INFO]   [XRP] S1 SIGNAL: direction=NO @ 78.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:20:09.768854115Z
"2026-03-26 22:24:11,904 [INFO]   [BTC] S1 SIGNAL: direction=NO @ 82.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:24:12.608299822Z
"2026-03-26 22:24:16,658 [INFO]   [BTC] VOL: dump leg done (base 43.00% → 3.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:24:16.741729234Z
"2026-03-26 22:24:28,624 [INFO]   [ETH] VOL: dump leg done (base 36.50% → 1.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:24:36.596078351Z
"2026-03-26 22:25:42,124 [INFO]   [SOL] VOL: dump leg done (base 39.50% → 4.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:25:46.845148899Z
"2026-03-26 22:27:45,915 [INFO]   [SOL] S1 SIGNAL: direction=NO @ 78.70%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:27:48.474151061Z
"2026-03-26 22:40:25,437 [INFO]   [SOL] S1 SIGNAL: direction=YES @ 78.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:40:26.701194524Z
"2026-03-26 22:40:44,157 [INFO]   [BTC] S1 SIGNAL: direction=YES @ 78.00%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:40:46.506779350Z
